term	f
ability	1
able	3
abnormal	1
abolition	3
abound	1
abruptly	2
absent	1
absorbs	1
abstain	1
abstract	1
absurd	3
absurdity	2
abundance	2
acceleration	1
acceptance	1
accepted	1
accepts	1
accessible	1
accidents	1
accompanies	1
accomplish	3
accomplished	2
accordance	1
according	3
account	1
accounts	1
accumulated	1
acquainted	1
acquiring	1
act	3
acting	2
action	12
actionin	1
active	1
activity	1
actual	1
actually	2
acuity	1
adapt	1
adaptation	1
adapted	1
add	1
address	2
adds	1
adherence	1
adjust	1
adjustment	4
adjusts	1
admission	1
admit	1
adopted	1
advantage	2
advantageous	1
afar	2
affect	1
affected	1
affection	1
affections	2
affective	1
ages	1
aggravates	1
ago	2
agree	1
agreeable	1
aid	1
air	2
airy	1
ajar	1
akin	1
alexandria	1
alfred	2
alienation	1
allow	2
allows	1
almost	7
alone	2
along	1
alphabet	1
already	3
also	7
although	2
altogether	2
always	3
ambitions	1
american	2
among	6
amount	1
amygdalitis	1
analogous	4
analysis	1
analyze	2
ancients	1
anecdote	1
anguish	1
animal	2
another	7
answer	3
antiquity	1
anxieties	1
anything	1
apparatus	1
apparitions	1
appeals	2
appear	5
appeared	1
appearing	1
appears	5
apples	1
application	1
appropriate	1
arise	2
arisen	1
arm	1
around	5
arrange	2
artigues	1
artistic	1
aside	1
ask	4
asked	1
asleep	7
aspirations	1
aspire	2
assemblages	1
assembly	2
asserted	1
assimilate	1
association	1
astonish	1
astonished	3
astonishing	1
astrological	1
astrology	1
astronomy	1
atmosphere	1
atom	1
atoms	1
attaching	2
attacked	1
attacks	1
attain	1
attention	8
attentively	1
attire	1
attitude	1
attracted	1
attributed	1
auditorium	1
auditory	1
augmented	1
authenticity	1
author	2
autoobservations	1
avoid	2
await	1
awake	7
awakefor	1
awakened	2
awakening	4
awakens	1
aware	1
away	4
b	2
babylonian	1
back	3
background	3
balance	2
ballast	1
balls	1
banishment	1
barking	4
barks	1
baton	1
battle	1
baying	1
bear	1
beating	1
became	2
become	10
becomes	6
becoming	2
bed	2
bedclothes	1
bedside	1
began	1
beginning	2
begun	1
behind	1
beholds	1
believe	4
believing	2
beneath	1
bergson	5
bergsons	5
bertrand	1
beside	1
besides	7
best	1
better	1
